Date,Time1,Time2,Time3
Ημερομηνία,12:00-15:00,15:15-18:15,18:30-21:30
Monday 27-01-2020,Μ113 - Δικτύωση Βασισμένη στο Λογισμικό - CS3 EN3,Μ160 - Σχεδίαση Ψηφιακών CMOS VLSI Κυκλωμάτων - EN1,Μ110 - Διαδραστικά Συστήματα - IC1
Tuesday 28-01-2020,,,Μ138 - Προηγμένη Τεχνητή Νοημοσύνη - CS2
Wednesday 29-01-2020,,Μ150 - Συστήματα και Δίκτυα Οπτικών Επικοινωνιών - EN2,Μ116 - Επικοινωνία Ανθρώπου-Υπολογιστή με Ομιλία
Thursday 30-01-2020,,,
Friday 31-01-2020,Μ171 - Υπολογιστική Πολυπλοκότητα - CS1,Μ161 - Τεχνικές Ανάλυσης Δεδομένων Υψηλής Κλίμακας - CS2,Μ117 - Ευρυζωνικά Δίκτυα Κορμού και Πρόσβασης
,,,
Monday 03-02-2020,,Μ135 - Προηγμένες Μέθοδοι Προγραμματισμού - CS2 CS3,Μ136 - Προηγμένες Ψηφιακές Επικοινωνίες - EN2
Tuesday 04-02-2020,,,Μ114 - Ενσωματωμένο Λογισμικό για Λειτουργικά Συστήματα Πραγματικού Χρόνου - EN1
Wednesday 05-02-2020,Μ139 - Προηγμένοι Επιστημονικοί Υπόλογισμοί - CS1,Μ159 - Σχεδίαση Τηλεπικοινωνιακών Ολοκληρωμένων Κυκλωμάτων,Μ130 - Προηγμένα Δίκτυα Επικοινωνιών - EN3
Thursday 06-02-2020,Μ129 - Πολυεπεξεργαστικά Συστήματα σε Ολοκληρωμένα Κυκλώματα - ΕΝ1,,Μ149 - Συστήματα Βάσεων Δεδομένων - CS2 CS3
Friday 07-02-2020,,,Μ341 - Ειδικά Θέματα: Αποκεντρωμένα Συστήματα και Αναδρομική Λήψη Αποφάσεων
,,,
Monday 10-02-2020,,Μ127 - Παράλληλα Υπολογιστικά Συστήματα - CS3 EN1,Μ124 - Μηχανική Μάθηση - EN2 IC1
Tuesday 11-02-2020,,Μ164 - Τεχνολογίες Γνώσεων - CS2,Μ147 - Σύγχρονες Τεχνολογίες για Πολιτισμικές Εφαρμογές
Wednesday 12-02-2020,,,Μ121 - Κινητά και Ασύρματα Δίκτυα - - EN2 EN3 IC1
Thursday 13-02-2020,,Μ155 - Συστήματα Ψηφιακής Ευρυεκπομπής,Μ152 - Συστήματα Πολυμέσων - CS2 IC1
Friday 14-02-2020,Μ131 - Προηγμένα Λειτουργικά Συστήματα - CS3,Μ144 - Προχωρημένοι Αλγόριθμοι Γραφικών - CS1,Μ140 - Προσβασιμότητα Υπολογιστών και Παγκόσμιου Ιστού
