Date,Time1,Time2,Time3,Time4
Ημερομηνία,8:45-11:45,12:00-15:00,15:15-18:15,18:30-21:30
Δευτέρα 3/9/2018,Γραμμική Άλγεβρα,Γραφικά I,Αλγοριθμική Επιχειρησιακή Έρευνα,Ανάπτυξη Υλικού-Λογισμικού για Ενσωματωμένα Συστήματα
Τρίτη 4/9/2018,Αλγόριθμοι και Πολυπλοκότητα,Επεξεργασία Στοχαστικών Σημάτων,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Επεξεργασία και Ανάλυση Εγγράφων,Καινοτομία και Επιχειρηματικότητα
Τετάρτη 5/9/2018,Δίκτυα Επικοινωνιών II,Εργαστήριο Κυκλωμάτων και Συστημάτων,Προηγμένοι Επιστημονικοί Υπολογισμοί,Διοίκηση Έργων και Τεχνικές Παρουσίασης και Συγγγραφής Επιστημονικών Εκθέσεων
Πέμπτη 6/9/2018,Λογική Σχεδίαση,Σχεδίαση Ψηφιακών Συστημάτων - VHDL,"Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Κυματοδηγοί, Γραμμές Μεταφοράς και Οπτικές Ίνες",Μικροοικονομική Ανάλυση
Παρασκευή 7/9/2018,Σήματα και Συστήματα,Υλοποίηση Συστημάτων Βάσεων Δεδομένων,Κρυπτογραφία,"Κύματα, Κυματοδηγοί, Κεραίες"
,,,,
Δευτέρα 10/9/2018,Αρχιτεκτονική Υπολογιστών I,Αρχιτεκτονική Υπολογιστών II,Θεωρία Αριθμών,Συστήματα Κινητών και Προσωπικών Επικοινωνιών
Τρίτη 11/9/2018,Σχεδίαση και Χρήση Βάσεων Δεδομένων,Τηλεπικοινωνιακά Δίκτυα,Επικοινωνία Ανθρώπου Μηχανής,Επεξεργασία Ομιλίας και Φυσικής Γλώσσας
Τετάρτη 12/9/2018,Λειτουργικά Συστήματα,Πληροφορική και Εκπαίδευση,Υπολογιστική Γεωμετρία,Διαχείριση Δικτύων
Πέμπτη 13/9/2018,Διακριτά Μαθηματικά,Θεωρία Πληροφορίας και Κωδίκων,Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού,Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα
Παρασκευή 14/9/2018,Πιθανότητες και Στατιστική,Αρχές Γλωσσών Προγραμματισμού,Ασύρματα Δίκτυα Αισθητήρων,Τεχνολογία Λογισμικού
,,,,
Δευτέρα 17/9/2018,Ανάλυση I,Θεωρία Υπολογισμού,Ειδικά Θέματα Θεωρητικής Πληροφορικής - Σημασιολογία Γλωσσών Προγραμματισμού,Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
Τρίτη 18/9/2018,Δίκτυα Επικοινωνιών I,Επιστημονικοί Υπολογισμοί,Ανάλυση Εικονας και Τεχνητή Όραση,Αναγνώριση Προτύπων - Μηχανική Μάθηση
Τετάρτη 19/9/2018,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,Τεχνικές Εξόρυξης Δεδομένων,Εργαστήριο Ηλεκτρονικής,Μεταγλωττιστές
Πέμπτη 20/9/2018,Αντικειμενοστραφής Προγραμματισμός,Ψηφιακή Επεξεργασία Σήματος,Τεχνολογίες Εφαρμογών Διαδικτύου,Θεωρία Γραφημάτων
Παρασκευή 21/9/2018,Εισαγωγή στον Προγραμματισμό,Αριθμητική Ανάλυση,Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης,Ασύρματες Ζεύξεις
,,,,
Δευτέρα 24/9/2018,Δομές Δεδομένων και Τεχνικές Προγραμματισμού,Τεχνητή Νοημοσύνη,Εφαρμοσμένα Μαθηματικά,Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
Τρίτη 25/9/2018,Ανάλυση II,Διδακτική της Πληροφορικής,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Αποκεντρωμένα Συστήματα και Αναδρομική Λήψη Αποφάσεων,Λογικός Προγραμματισμός
Τετάρτη 26/9/2018,Μαθηματικά Πληροφορικής,Εργαστήριο Δικτύων Επικοινωνιών I,Παράλληλα Συστήματα,Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
Πέμπτη 27/9/2018,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική",Ηλεκτρονική,Παράλληλοι Αλγόριθμοι,Φωτονική
Παρασκευή 28/9/2018,Συστήματα Επικοινωνιών,Προγραμματισμός Συστήματος,Ψηφιακές Επικοινωνίες,
