Date,Time1,Time2,Time3
Ημερομηνία,9:00-12:00,14:00-17:00,18:00-21:00
Σάββατο 23/1/2010,Εισαγωγή στον Προγραμματισμό (1Κ),,
,,,
Δευτέρα 25/1/2010,Σήματα και Συστήματα (2Κ),Ψηφιακή Επεξεργασία Σήματος (3Β3),Προηγμένα Θέματα Αλγορίθμων (4Β1)
Τρίτη 26/1/2010,Εισαγωγή στην Επιστήμη της Πληροφορικής και των Τηλεπικοινωνιών (1Κ),Σχεδίαση και Χρήση Βάσεων Δεδομένων (3Β2),Διδακτική της Πληροφορικής (4Ε)
Τετάρτη 27/1/2010,Εισαγωγή στα Συστήματα Επικοινωνιών (3Κ),Συστήματα Ψηφιακής Επεξεργασίας Σημάτων σε Πραγματικό Χρόνο (4Ε),Τεχνολογία Λογισμικού (4Β2)
Πέμπτη 28/1/2010,Γραφικά I (3Β1),"Γραμμές Μεταφοράς, Κυματοδηγοί και Οπτικές Ίνες (4Β3)",Καινοτομία και Επιχειρηματικότητα (4Ε)
Παρασκευή 29/1/2010,Αντικειμενοστραφής Προγραμματισμός (2Κ),Ανάλυση και Σχεδίαση Ηλεκτρονικών και Τηλεπικοινωνιακών Κυκλωμάτων (3Ε),Τεχνικές Εξόρυξης Δεδομένων (4Ε)
Σάββατο 30/1/2010,,,
,,,
Δευτέρα 1/2/2010,Λογική Σχεδίαση (1Κ),Σχεδίαση Ψηφιακών Συστημάτων (3Β2),Κρυπτογραφία (4Ε)
Τρίτη 2/2/2010,Λειτουργικά Συστήματα (3Κ),Πληροφοριακά Συστήματα (4Ε),Επεξεργασία Εικόνας (4Ε)
Τετάρτη 3/2/2010,Αρχιτεκτονική Υπολογιστών I (2Κ),Ασύρματες Ζεύξεις (4Ε),Αριθμητική Γραμμική Άλγεβρα (3Β1)
Πέμπτη 4/2/2010,Θεωρία Υπολογισμού (4Κ),Σχεδίαση Ολοκληρωμένων Κυκλωμάτων (3Β3),
Παρασκευή 5/2/2010,Εργαστήριο Ηλεκτρονικής (3Κ),Αλγοριθμική Επιχειρησιακή Έρευνα (4Β1),
Σάββατο 6/2/2010,Γραμμική Άλγεβρα (1Κ),,
,,,
Δευτέρα 8/2/2010,Ηλεκτρομαγνητισμός - Οπτική (2Κ),Θεωρία Πληροφορίας και Στοιχεία Κωδίκων (3Β3),Ανάπτυξη Λογισμικού (4Κ)
Τρίτη 9/2/2010,Μαθηματικά Πληροφορικής (3Κ),Επικοινωνία Ανθρώπου Μηχανής (4Β2),Σύγχρονη Ευρωπαϊκή Ιστορία (2ΓΠ)
Τετάρτη 10/2/2010,Αρχές Γλωσσών Προγραμματισμού (3Β1),Δίκτυα Επικοινωνιών II (4Β3),Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης (3ΓΠ)
Πέμπτη 11/2/2010,Μαθηματικά Τηλεπικοινωνιών (3Κ),Ενσωματωμένα Συστήματα (4Ε),Διοίκηση Έργων - Τεχνικές Παρουσίασης και Συγγραφής Επιστημονικών Εκθέσεων (4ΓΠ)
Παρασκευή 12/2/2010,Πιθανότητες και Στοιχεία Στατιστικής (2Κ),Τεχνητή Νοημοσύνη (3Β2),Θεωρία Γράφων (4Β1)
Σάββατο 13/2/2010,Ανάλυση I (1Κ),,
