Date,Time1,Time2,Time3,Time4
Ημερομηνία,8:45-11:45,12:00-15:00,15:15-18:15,18:30-21:30
Monday 27-01-2020,Εισαγωγή στον Προγραμματισμό,Λειτουργικά Συστήματα,,Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
Tuesday 28-01-2020,Αντικειμενοστραφής Προγραμματισμός,Υπολογιστική Πολυπλοκότητα,,Συστήματα Επικοινωνιών
Wednesday 29-01-2020,Διδακτική της Πληροφορικής,Αρχιτεκτονική Υπολογιστών II,,Αλγόριθμοι και Πολυπλοκότητα
Thursday 30-01-2020,,,,
Friday 31-01-2020,Δίκτυα Επικοινωνιών II,Διακριτά Μαθηματικά,,Αλγοριθμική Επιχειρησιακή Έρευνα
,,,,
Monday 03-02-2020,Αριθμητική Ανάλυση,Πληροφοριακά Συστήματα,Εργαστήριο Δικτύων Επικοινωνιών I,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική"
Tuesday 04-02-2020,Πιθανότητες και Στατιστική,Ψηφιακή Επεξεργασία Σήματος,,Συστήματα Κινητών και Προσωπικών Επικοινωνιών
Wednesday 05-02-2020,Γραμμική Άλγεβρα,Προηγμένοι Επιστημονικοί Υπόλογισμοί,,Τηλεπικοινωνιακά Δίκτυα
Thursday 06-02-2020,Εργαστήριο Κυκλωμάτων και Συστημάτων,Εφαρμοσμένα Μαθηματικά,,Επικοινωνία Ανθρώπου Μηχανής
Friday 07-02-2020,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,Υλοποίηση Συστημάτων Βάσεων Δεδομένων,Σχεδίαση VLSI Κυκλωμάτων,Ειδικά Θέματα: Αποκεντρωμένα Συστήματα και Αναδρομική Λήψη Αποφάσεων
,,,,
Monday 10-02-2020,Σήματα και Συστήματα,Τεχνητή Νοημοσύνη,Παράλληλα Συστήματα,Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
Tuesday 11-02-2020,Αρχές Γλωσσών Προγραμματισμού,"Κύματα, Κυματοδηγοί, Κεραίες",,Οι ΤΠΕ στη Μάθηση
Wednesday 12-02-2020,Λογική Σχεδίαση,,,Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα
Thursday 13-02-2020,Ανάλυση II,,,Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης
Friday 14-02-2020,Γραφικά I,Ψηφιακές Επικοινωνίες,,Συστήματα Πληροφορικής & eΠροσβασιμότητα
,Εργαστήριο Εισαγωγής στον Προγραμματισμό (οι ώρες εξέτασης ανά εργαστηριακό τμήμα θα αναρτηθούν στην ιστοσελίδα του μαθήματος),,,
