Δευτέρα,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Ώρα/Αίθ.,Online,Online,Online,Online,Online,Online,Online,Online,Online,Online
 9:00-10:00, , ,"Θεωρία Υπολογισμού
6ο
Ροντογιάννης", , , , ,"Σχολική Τάξη & Μικροδιδασκαλία
8ο
Γόγουλου","Ασύρματες Ζεύξεις
8ο
Πασσάς", 
10:00-11:00, , ,"Θεωρία Υπολογισμού
6ο
Ροντογιάννης", , , , ,"Σχολική Τάξη & Μικροδιδασκαλία
8ο
Γόγουλου","Ασύρματες Ζεύξεις
8ο
Πασσάς", 
11:00-12:00,"Ανάλυση I
2ο
Δοδός", , , , , ,"Υπολογιστική Γεωμετρία
8ο
Καρασούλου","Τεχνολογίες Εφαρμογών Διαδικτύου
6ο
Χαμόδρακας",, 
12:00-13:00,"Ανάλυση I
2ο
Δοδός", , , , , ,"Υπολογιστική Γεωμετρία
8ο
Καρασούλου","Τεχνολογίες Εφαρμογών Διαδικτύου
6ο
Χαμόδρακας",, 
13:00-14:00,"Αρχιτεκτονική Υπολογιστών I
2ο
Γκιζόπουλος","Προγραμματισμός Συστήματος (άρτιοι ΑΜ)
6ο
Ντούλας","Προγραμματισμός Συστήματος (περιττοί ΑΜ)
6ο
Ρουσσοπούλου","Σημασιολογία Γλωσσών Προγραμματισμού
8ο - Μ145
Ροντογιάννης", , , , ,, 
14:00-15:00,"Αρχιτεκτονική Υπολογιστών I
2ο
Γκιζόπουλος","Προγραμματισμός Συστήματος (άρτιοι ΑΜ)
6ο
Ντούλας","Προγραμματισμός Συστήματος (περιττοί ΑΜ)
6ο
Ρουσσοπούλου","Σημασιολογία Γλωσσών Προγραμματισμού
8ο - Μ145
Ροντογιάννης",,,, , , 
15:00-16:00,"Δομές Δεδομένων και Τεχνικές Προγραμματισμού (περιττοί ΑΜ)
2ο
Χατζηκοκολάκης","Μεταγλωττιστές
6ο
Σμαραγδάκης","Δομές Δεδομένων και Τεχνικές Προγραμματισμού (άρτιοι ΑΜ)
2ο
Κουμπαράκης","Κυματοδηγοί, Γραμμές Μεταφοράς και Οπτικές Ίνες
8ο
Τσίπουρας",,,, ,"Ασύρματα Δίκτυα Αισθητήρων
6ο
Χατζηευθυμιάδης", 
16:00-17:00,"Δομές Δεδομένων και Τεχνικές Προγραμματισμού (περιττοί ΑΜ)
2ο
Χατζηκοκολάκης","Μεταγλωττιστές
6ο
Σμαραγδάκης","Δομές Δεδομένων και Τεχνικές Προγραμματισμού (άρτιοι ΑΜ)
2ο
Κουμπαράκης","Κυματοδηγοί, Γραμμές Μεταφοράς και Οπτικές Ίνες
8ο
Τσίπουρας",,,,"Φωτονική
8ο
Νίκας","Ασύρματα Δίκτυα Αισθητήρων
6ο
Χατζηευθυμιάδης", 
17:00-18:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική (Φ)
2ο
Πίνο",,,"Κυματοδηγοί, Γραμμές Μεταφοράς και Οπτικές Ίνες
8ο
Τσίπουρας", , ,,"Φωτονική
8ο
Νίκας", , 
18:00-19:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική (Φ)
2ο
Πίνο",,,, , ,,"Φωτονική
8ο
Νίκας", ,
19:00-20:00, ,,,, , ,, , ,
20:00-21:00, ,, ,, , ,, , ,
,,,,,,,,,,
,,,,,,,,,,
Τρίτη,,,,,,,,,,
Ώρα/Αίθ.,Online,Online,Online,Online,Online,Online,Online,Online,Online,Online
 9:00-10:00,"Σχεδίαση και Χρήση Βάσεων Δεδομένων (άρτιοι ΑΜ)
4ο
Ιωαννίδης", , , , ,"Ειδικά Θέματα Αλγορίθμων
8ο
Αχλιόπτας", ,"Αλγόριθμοι & Πολυπλοκότητα (Φροντ. Αμmod4=1)
4ο
Λουκά","Μαθηματικά Πληροφορικής
6ο
Κολλιόπουλος", 
