Δευτέρα,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Ώρα/Αίθ.,Αμφιθέατρο,Α1,Α2,Β,Γ,Δ,Ε,ΣΤ,Ζ
 9:00-10:00,"Εισαγωγή στον Προγραμματισμό
1ο
Σταματόπουλος", ,"Υλοποίηση Συστημάτων Βάσεων Δεδομένων
5ο
Γουνόπουλος",ΣΤΗΑΔ, , , ,"Οι ΤΠΕ στη Μάθηση
7ο
Γόγουλου","Συστήματα Κινητών και Προσωπικών Επικοινωνιών
7ο
Πασσάς"
10:00-11:00,"Εισαγωγή στον Προγραμματισμό
1ο
Σταματόπουλος", ,"Υλοποίηση Συστημάτων Βάσεων Δεδομένων
5ο
Γουνόπουλος",ΣΤΗΑΔ, , , ,"Οι ΤΠΕ στη Μάθηση
7ο
Γόγουλου","Συστήματα Κινητών και Προσωπικών Επικοινωνιών
7ο
Πασσάς"
11:00-12:00,"Διακριτά Μαθηματικά
1ο
Τζάμος", , ,ΣΤΗΑΔ, , , , ,
12:00-13:00,"Διακριτά Μαθηματικά
1ο
Τζάμος", , ,ΣΤΗΑΔ, , ,,, 
13:00-14:00,"Αριθμητική Ανάλυση
5ο
Τζαφέρης","Αρχιτεκτονική Υπολογιστών II
5ο
Γκιζόπουλος","Διακριτά Μαθηματικά (Τμήμα Αμmod4=1)
1ο
Χαμόδρακας",ΣΤΗΑΔ,, , ,"Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα
7ο
Εμίρης","Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
7ο
Κανέλλος"
14:00-15:00,"Αριθμητική Ανάλυση
5ο
Τζαφέρης","Αρχιτεκτονική Υπολογιστών II
5ο
Γκιζόπουλος","Διακριτά Μαθηματικά (Τμήμα Αμmod4=1)
1ο
Χαμόδρακας","Ενισχυτική μηχανική μάθηση και Στοχαστικά παίγνια
7ο - Μ342
Καλουπτσίδης",, , ,"Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα (Φ)
7ο
Εμίρης","Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
7ο
Κανέλλος"
15:00-16:00,"Λειτουργικά Συστήματα
5ο
Χατζηευθυμιάδης",,"Διακριτά Μαθηματικά (Τμήμα Αμmod4=3)
1ο
Χαμόδρακας","Ενισχυτική μηχανική μάθηση και Στοχαστικά παίγνια
7ο - Μ342
Καλουπτσίδης",, ,"Ειδικά Θέµατα Κβαντικής Πληροφορίας και Υπολογιστικής 
7ο
Συβρίδης","Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα (Φ)
7ο
Εμίρης","Συστήματα Ψηφιακής Επεξεργασίας Σημάτων σε Πραγματικό Χρόνο
7ο
Πίνο"
16:00-17:00,"Λειτουργικά Συστήματα
5ο
Χατζηευθυμιάδης",,"Διακριτά Μαθηματικά (Τμήμα Αμmod4=3)
1ο
Χαμόδρακας", ,,,"Ειδικά Θέµατα Κβαντικής Πληροφορίας και Υπολογιστικής 
7ο
Συβρίδης",,"Συστήματα Ψηφιακής Επεξεργασίας Σημάτων σε Πραγματικό Χρόνο
7ο
Πίνο"
17:00-18:00, ,,"Ψηφιακή Επεξεργασία Σήματος
5ο
Αλεξανδρόπουλος",,,,,,"Συστήματα Ψηφιακής Επεξεργασίας Σημάτων σε Πραγματικό Χρόνο
7ο
Πίνο"
18:00-19:00,,,"Ψηφιακή Επεξεργασία Σήματος
5ο
Αλεξανδρόπουλος",,,,,,
19:00-20:00,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 1)
7ο
Ιωαννίδης",,,,,,
20:00-21:00,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 1)
7ο
Ιωαννίδης",,,,,,
,,,,,,,,,
,,,,,,,,,
Τρίτη,,,,,,,,,
Ώρα/Αίθ.,Αμφιθέατρο,Α1,Α2,Β,Γ,Δ,Ε,ΣΤ,Ζ
 9:00-10:00,"Πιθανότητες και Στατιστική
3ο
Αχλιόπτας",,"Υλοποίηση Συστημάτων Βάσεων Δεδομένων
5ο
Γουνόπουλος",,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 2)
7ο
Ιωαννίδης","Διδακτική της Πληροφορικής
7ο
Γόγουλου","Τηλεπικοινωνιακά Δίκτυα
5ο
Βαρουτάς, Κατσιάνης"
10:00-11:00,"Πιθανότητες και Στατιστική
3ο
Αχλιόπτας",,"Υλοποίηση Συστημάτων Βάσεων Δεδομένων
5ο
Γουνόπουλος",,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 2)
7ο
Ιωαννίδης","Διδακτική της Πληροφορικής
7ο
Γόγουλου","Τηλεπικοινωνιακά Δίκτυα
5ο
Βαρουτάς, Κατσιάνης"
11:00-12:00,"Ανάλυση II
3ο
Χελιώτης","Σχεδίαση Ψηφιακών Συστημάτων - VHDL
5ο
Πασχάλης","Εργαστήριο Λογικής Σχεδίασης
1ο
Βασιλόπουλος",,,,"Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα (Φ)
7ο
Χαμόδρακας","Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
7ο
Κανέλλος",
12:00-13:00,"Ανάλυση II
3ο
Χελιώτης","Σχεδίαση Ψηφιακών Συστημάτων - VHDL
5ο
Πασχάλης","Εργαστήριο Λογικής Σχεδίασης
1ο
Βασιλόπουλος",,,,"Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα (Φ)
7ο
Χαμόδρακας","Οπτικές Επικοινωνίες και Οπτικά Δίκτυα
7ο
Κανέλλος",
13:00-14:00,"Σήματα και Συστήματα
3ο
Παναγάκης","Αρχές Γλωσσών Προγραμματισμού
5ο
Ροντογιάννης",," Αρχές και Τεχνικές προγραμματισμού - Γλώσσα C
ΗΑ101
Κοτρώνης",,,"Ανάπτυξη Λογισμικού για Αλγοριθμικά Προβλήματα (Φ)
7ο
Χαμόδρακας",,"Αλγοριθμική Επιχειρησιακή Έρευνα
7ο
Ζησιμόπουλος"
14:00-15:00,"Σήματα και Συστήματα
3ο
Παναγάκης","Αρχές Γλωσσών Προγραμματισμού
5ο
Ροντογιάννης",," Αρχές και Τεχνικές προγραμματισμού - Γλώσσα C
ΗΑ101
Κοτρώνης",,,"Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",,"Αλγοριθμική Επιχειρησιακή Έρευνα
7ο
Ζησιμόπουλος"
15:00-16:00,"Αντικειμενοστραφής Προγραμματισμός
3ο
Αλεξανδράκης", ,"Δίκτυα Επικοινωνιών II
5ο
Χριστοδουλόπουλος"," Αρχές και Τεχνικές προγραμματισμού - Γλώσσα C
ΗΑ101
Κοτρώνης",,"Προηγμένα Θέματα Αλγορίθμων
7ο
Φουρτουνέλλη","Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",,
16:00-17:00,"Αντικειμενοστραφής Προγραμματισμός
3ο
Αλεξανδράκης", ,"Δίκτυα Επικοινωνιών II
5ο
Χριστοδουλόπουλος",,,"Προηγμένα Θέματα Αλγορίθμων
7ο
Φουρτουνέλλη","Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",,
17:00-18:00,"Λειτουργικά Συστήματα (Φ)
5ο
Πασκαλής",,,,,, ,,
18:00-19:00,"Λειτουργικά Συστήματα (Φ)
5ο
Πασκαλής",,,, ,,,"Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",
19:00-20:00,,,,, ,,,"Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",
20:00-21:00,,,,, ,,,"Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
7ο
Αλωνιστιώτη",
,,,,,,,,,
,,,,,,,,,
Τετάρτη,,,,,,,,,
Ώρα/Αίθ.,Αμφιθέατρο,Α1,Α2,Β,Γ,Δ,Ε,ΣΤ,Ζ
 9:00-10:00,"Λογική Σχεδίαση
1ο
Πασχάλης","Γραφικά I
5ο
Θεοχάρης", , , , ,"Θεωρία Αριθμών
7ο
 Ρούπα","Προηγμένοι Επιστημονικοί Υπολογισμοί
7ο - Μ139
Μισυρλής, Τζαφέρης","Συστήματα Κινητών και Προσωπικών Επικοινωνιών
7ο
Πασσάς"
10:00-11:00,"Λογική Σχεδίαση
1ο
Πασχάλης","Γραφικά I
5ο
Θεοχάρης", , ,, ,"Θεωρία Αριθμών
7ο
 Ρούπα","Προηγμένοι Επιστημονικοί Υπολογισμοί
7ο - Μ139
Μισυρλής, Τζαφέρης","Συστήματα Κινητών και Προσωπικών Επικοινωνιών
7ο
Πασσάς"
11:00-12:00,"Διακριτά Μαθηματικά
1ο
Τζάμος","Επικοινωνία Ανθρώπου-Μηχανής
7ο
Ρούσσου","Τεχνητή Νοημοσύνη
5ο
Κουμπαράκης", ,,"Υπολογιστική Πολυπλοκότητα
7ο - Μ171
Γιαννοπούλου",,"Ψηφιακή Επεξεργασία Σήματος
5ο
Αλεξανδρόπουλος",
12:00-13:00,"Διακριτά Μαθηματικά
1ο
Τζάμος","Επικοινωνία Ανθρώπου-Μηχανής
7ο
Ρούσσου","Τεχνητή Νοημοσύνη
5ο
Κουμπαράκης", ,,"Υπολογιστική Πολυπλοκότητα
7ο - Μ171
Γιαννοπούλου","Ειδικά Θέµατα Κβαντικής Πληροφορίας και Υπολογιστικής 
7ο
Συβρίδης","Ψηφιακή Επεξεργασία Σήματος
5ο
Αλεξανδρόπουλος",
13:00-14:00,"Γραμμική Άλγεβρα
1ο
Γιαννοπούλου", ,"Τεχνητή Νοημοσύνη
5ο
Κουμπαράκης","Ενισχυτική μηχανική μάθηση και Στοχαστικά παίγνια
7ο - Μ342
Καλουπτσίδης",, ,"Ειδικά Θέµατα Κβαντικής Πληροφορίας και Υπολογιστικής 
7ο
Συβρίδης","Εργαστήριο Κυκλωμάτων και Συστημάτων
3ο
Πίνο",
14:00-15:00,"Γραμμική Άλγεβρα
1ο
Γιαννοπούλου", , ,"Ενισχυτική μηχανική μάθηση και Στοχαστικά παίγνια
7ο - Μ342
Καλουπτσίδης",,"Σχεδίαση VLSI Κυκλωμάτων
7ο
Νίκας",,"Εργαστήριο Κυκλωμάτων και Συστημάτων
3ο
Πίνο",
15:00-16:00,"Λειτουργικά Συστήματα
5ο
Χατζηευθυμιάδης","Διακριτά Μαθηματικά (Τμήμα Αμmod4=0)
1ο
Χαμόδρακας",,,,"Σχεδίαση VLSI Κυκλωμάτων
7ο
Νίκας",,,
16:00-17:00,"Λειτουργικά Συστήματα
5ο
Χατζηευθυμιάδης","Διακριτά Μαθηματικά (Τμήμα Αμmod4=0)
1ο
Χαμόδρακας",,,,"Σχεδίαση VLSI Κυκλωμάτων
7ο
Νίκας",,,
17:00-18:00,"Ανάλυση II
3ο
Χελιώτης", ,, ,,"Σχεδίαση VLSI Κυκλωμάτων
7ο
Νίκας",,"Τεχνητή Νοημοσύνη II (Φ)
7ο - Μ226 Μ262 Μ325
Κουμπαράκης",
18:00-19:00,"Ανάλυση II
3ο
Χελιώτης",,,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 3)
7ο
Ιωαννίδης",,,
19:00-20:00, ,,,,,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 3)
7ο
Ιωαννίδης",,,
20:00-21:00, ,,,,,, ,,
,,,,,,,,,
,,,,,,,,,
Πέμπτη,,,,,,,,,
Ώρα/Αίθ.,Αμφιθέατρο,Α1,Α2,Β,Γ,Δ,Ε,ΣΤ,Ζ
 9:00-10:00,"Πιθανότητες και Στατιστική
3ο
Αχλιόπτας","Γραφικά I
5ο
Θεοχάρης",,ΣΤΗΑΔ, , , ,"Προηγμένοι Επιστημονικοί Υπολογισμοί
7ο - Μ139
Μισυρλής, Τζαφέρης","Τηλεπικοινωνιακά Δίκτυα
5ο
Βαρουτάς, Κατσιάνης"
10:00-11:00,"Πιθανότητες και Στατιστική
3ο
Αχλιόπτας","Γραφικά I
5ο
Θεοχάρης",,ΣΤΗΑΔ,,"Ψηφιακές Επικοινωνίες
7ο
Μαθιόπουλος", ,"Προηγμένοι Επιστημονικοί Υπολογισμοί
7ο - Μ139
Μισυρλής, Τζαφέρης","Τηλεπικοινωνιακά Δίκτυα
5ο
Βαρουτάς, Κατσιάνης"
11:00-12:00,"Γραμμική Άλγεβρα
1ο
Γιαννοπούλου",,"Παράλληλα Συστήματα
5ο
Καρακώστας",ΣΤΗΑΔ,,"Ψηφιακές Επικοινωνίες
7ο
Μαθιόπουλος","Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 4)
7ο
Ιωαννίδης","Επικοινωνία Ανθρώπου-Μηχανής
7ο
Ρούσσου",
12:00-13:00,"Γραμμική Άλγεβρα
1ο
Γιαννοπούλου",,"Παράλληλα Συστήματα
5ο
Καρακώστας",ΣΤΗΑΔ,,"Ψηφιακές Επικοινωνίες
7ο
Μαθιόπουλος","Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 4)
7ο
Ιωαννίδης","Επικοινωνία Ανθρώπου-Μηχανής
7ο
Ρούσσου",
13:00-14:00,"Σήματα και Συστήματα
3ο
Παναγάκης","Αριθμητική Ανάλυση
5ο
Τζαφέρης","Διακριτά Μαθηματικά (Τμήμα ΑΜmod4=2)
1ο
Χαμόδρακας",ΣΤΗΑΔ,,"Υπολογιστική Πολυπλοκότητα
7ο - Μ171
Γιαννοπούλου",,,
14:00-15:00,"Σήματα και Συστήματα
3ο
Παναγάκης","Αριθμητική Ανάλυση
5ο
Τζαφέρης","Διακριτά Μαθηματικά (Τμήμα ΑΜmod4=2)
1ο
Χαμόδρακας", ,"Κεραίες
ΡΗ101
Τσίπουρας","Υπολογιστική Πολυπλοκότητα
7ο - Μ171
Γιαννοπούλου",,,
15:00-16:00,"Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες
1ο
Ρούσσου","Αρχές Γλωσσών Προγραμματισμού
5ο
Ροντογιάννης","Δίκτυα Επικοινωνιών II
5ο
Χριστοδουλόπουλος","Προηγμένα Θέματα Αλγορίθμων
7ο
Φουρτουνέλλη","Κεραίες
ΡΗ101
Τσίπουρας",,,,"Ψηφιακή Προσβασιμότητα & Υποστηρικτικές Τεχνολογίες Πληροφορική
7ο - Μ140
Κουρουπέτρογλου, Πίνο"
16:00-17:00,"Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες
1ο
Ρούσσου","Αρχές Γλωσσών Προγραμματισμού
5ο
Ροντογιάννης","Δίκτυα Επικοινωνιών II
5ο
Χριστοδουλόπουλος","Προηγμένα Θέματα Αλγορίθμων
7ο
Φουρτουνέλλη","Κεραίες
ΡΗ101
Τσίπουρας",,,,"Ψηφιακή Προσβασιμότητα & Υποστηρικτικές Τεχνολογίες Πληροφορική
7ο - Μ140
Κουρουπέτρογλου, Πίνο"
17:00-18:00,"Γραμμική Άλγεβρα
1ο
Γιαννοπούλου",,,,,,,,"Ψηφιακή Προσβασιμότητα & Υποστηρικτικές Τεχνολογίες Πληροφορική
7ο - Μ140
Κουρουπέτρογλου, Πίνο"
18:00-19:00,,,,,,,,,
19:00-20:00,,,,,,,,,
20:00-21:00, ,, , , ,,,, 
,,,,,,,,,
,,,,,,,,,
Παρασκευή,,,,,,,,,
"Ώρα /
Αίθουσα",Αμφιθέατρο,Α1,Α2,Β,Γ,Δ,Ε,ΣΤ,Ζ
 9:00-10:00,"Εισαγωγή στον Προγραμματισμό
1ο
Σταματόπουλος",, , ,,,"Θεωρία Αριθμών
7ο
 Ρούπα",,
10:00-11:00,"Εισαγωγή στον Προγραμματισμό
1ο
Σταματόπουλος",, , , ,,"Θεωρία Αριθμών
7ο
 Ρούπα",,"Τεχνητή Νοημοσύνη II (Βαθιά Μηχ. Μάθ. Για Επεξ. Φυσ. Γλώσσας)
7ο - Μ226 Μ262 Μ325
Κουμπαράκης"
11:00-12:00,"Λογική Σχεδίαση
1ο
Πασχάλης","Τεχνητή Νοημοσύνη (Φ)
5ο
Κουμπαράκης",, , ,,,,"Τεχνητή Νοημοσύνη II (Βαθιά Μηχ. Μάθ. Για Επεξ. Φυσ. Γλώσσας)
7ο - Μ226 Μ262 Μ325
Κουμπαράκης"
12:00-13:00,"Λογική Σχεδίαση
1ο
Πασχάλης","Αρχιτεκτονική Υπολογιστών II
5ο
Γκιζόπουλος",, ,,,,,"Τεχνητή Νοημοσύνη II (Βαθιά Μηχ. Μάθ. Για Επεξ. Φυσ. Γλώσσας)
7ο - Μ226 Μ262 Μ325
Κουμπαράκης"
13:00-14:00,"Ανάλυση II
3ο
Χελιώτης","Αρχιτεκτονική Υπολογιστών II
5ο
Γκιζόπουλος",, ,,,,,"Αλγοριθμική Επιχειρησιακή Έρευνα
7ο
Ζησιμόπουλος"
14:00-15:00,"Ανάλυση II
3ο
Χελιώτης","Παράλληλα Συστήματα
5ο
Καρακώστας",, ,, ,,"Κύματα, Κυματοδηγοί, Κεραίες
5ο
Τσίπουρας","Αλγοριθμική Επιχειρησιακή Έρευνα
7ο
Ζησιμόπουλος"
15:00-16:00,"Αντικειμενοστραφής Προγραμματισμός
3ο
Αλεξανδράκης","Παράλληλα Συστήματα
5ο
Καρακώστας","Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης
7ο
Τολίδης", ,,,,"Κύματα, Κυματοδηγοί, Κεραίες
5ο
Τσίπουρας",
16:00-17:00,"Αντικειμενοστραφής Προγραμματισμός
3ο
Αλεξανδράκης", ,"Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης
7ο
Τολίδης",,,,,"Κύματα, Κυματοδηγοί, Κεραίες
5ο
Τσίπουρας",
17:00-18:00, , , ,,,,,,
18:00-19:00, , , ,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 5)
7ο
Ιωαννίδης",, ,,,
19:00-20:00, , , ,"Ανάπτυξη Λογισμικού για Πληροφοριακά Συστήματα (Τμήμα 5)
7ο
Ιωαννίδης",, ,,,
20:00-21:00, , , , ,, , ,,
